weight,size,moisture,sugar_level,firmness,color_score,quality
212.07,8.51,92.49,13.84,8.24,9.16,2
226.8,7.83,90.81,10.84,5.36,9.17,2
115.22,6.51,66.43,7.33,5.73,4.47,0
144.31,5.69,66.89,5.97,4.7,6.27,0
133.92,6.05,68.45,4.01,3.38,6.43,0
166.02,7.4,73.96,9.66,5.46,8.73,1
170.07,9.01,93.98,13.07,6.92,9.17,2
171.15,7.22,76.39,7.62,7.64,6.63,1
193.09,6.9,90.47,14.02,7.69,8.08,2
129.58,5.2,68.94,7.38,4.31,4.74,0
148.43,7.7,74.83,9.85,7.51,10.12,1
210.62,7.37,86.17,11.39,8.56,9.63,2
170.74,6.74,72.48,11.23,6.68,6.96,1
198.49,7.72,90.75,12.54,8.04,9.36,2
121.09,6.0,62.14,4.93,3.87,6.36,0
187.43,7.3,89.09,14.01,7.62,9.03,2
210.41,8.18,86.43,10.68,8.89,8.32,2
169.05,6.54,78.75,11.16,8.88,7.96,1
144.48,5.56,63.75,7.13,4.51,5.98,0
158.48,4.97,72.16,8.69,3.41,5.09,0
221.14,7.61,85.38,15.4,8.1,9.18,2
207.12,7.68,88.23,13.31,8.33,9.69,2
208.13,7.21,94.37,12.62,7.35,9.38,2
208.72,7.63,81.02,12.46,8.35,8.93,2
227.78,8.03,91.67,13.03,7.97,8.35,2
133.91,6.36,67.43,5.88,5.49,5.28,0
203.39,7.6,95.88,14.91,7.89,9.34,2
206.91,7.73,97.4,14.92,7.76,9.06,2
214.62,7.69,90.67,11.18,8.21,9.18,2
204.61,7.42,89.53,12.01,9.56,7.99,2
210.62,7.62,91.79,14.51,8.01,8.52,2
165.75,6.2,86.92,10.02,6.28,6.56,1
221.0,7.42,84.27,14.51,8.3,7.84,2
207.11,7.52,89.71,16.08,9.81,7.85,2
140.26,5.71,55.81,3.82,3.89,5.96,0
176.47,5.06,73.3,8.72,3.53,6.51,0
145.72,5.51,66.34,7.11,3.0,4.72,0
119.15,6.7,63.32,9.48,4.26,5.5,0
222.28,8.27,90.42,12.88,8.44,9.05,2
149.93,5.7,65.68,3.99,5.14,4.26,0
227.47,7.17,90.55,16.98,9.35,9.85,2
